total_cup_points,species,country_of_origin,altitude_mean_meters,processing_method,aroma,flavor,aftertaste,acidity,body,balance,region
84,Arabica,Kenya,1650.0,Washed / Wet,7.67,7.75,7.67,7.75,7.83,7.67,central kenya
84,Arabica,Uganda,1700.0,Washed / Wet,7.92,7.75,7.58,7.67,7.67,7.83,kasese
83,Arabica,Brazil,890.0,Natural / Dry,7.5,7.75,7.58,7.5,7.58,7.5,south of minas
83,Arabica,Mexico,1300.0,Washed / Wet,7.83,7.83,7.58,7.92,7.42,7.5,veracruz
83,Arabica,Thailand,1350.0,Natural / Dry,7.67,7.75,7.5,7.67,7.67,7.83,chiangrai
83,Arabica,Brazil,934.0,Natural / Dry,7.58,7.67,7.67,7.75,7.58,7.83,south of minas
83,Arabica,Taiwan,1200.0,Washed / Wet,7.83,7.75,7.83,7.75,7.83,7.75,"leye, alishan township, chiayi county 嘉義阿里山樂野村"
83,Arabica,Colombia,442.0,Washed / Wet,7.75,7.67,7.5,7.75,7.83,7.75,huila
83,Arabica,Colombia,1310.64,Washed / Wet,7.75,7.58,7.5,7.83,7.75,7.92,la plata
83,Arabica,Taiwan,1310.64,Natural / Dry,7.75,7.75,7.58,7.75,7.75,7.67,台灣
83,Arabica,Colombia,1310.64,Washed / Wet,7.92,7.67,7.5,7.83,7.58,7.67,huila
83,Arabica,Colombia,1310.64,Washed / Wet,7.83,7.75,7.58,7.58,7.75,7.75,huila
83,Arabica,Colombia,1775.0,Washed / Wet,7.75,7.58,7.67,7.83,7.83,7.67,huila
83,Arabica,Taiwan,950.0,Washed / Wet,8.0,7.92,7.92,7.92,7.67,7.33,台中和平區
83,Arabica,Colombia,1550.0,Natural / Dry,7.67,7.83,7.67,7.75,7.67,7.83,santander
83,Arabica,Mexico,900.0,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.83,xicotepec de juarez
83,Arabica,Mexico,1500.0,Washed / Wet,7.5,7.67,7.58,7.83,7.75,7.75,la concordia
83,Arabica,Mexico,1400.0,Washed / Wet,7.75,7.92,7.83,7.92,7.75,7.67,la yerbabuena
83,Arabica,Colombia,2527.0,Washed / Wet,7.92,7.58,7.5,7.83,7.58,7.67,nariño
83,Arabica,Colombia,1310.64,Washed / Wet,7.83,7.67,7.5,7.75,7.75,7.75,huila
83,Arabica,Costa Rica,1850.0,Washed / Wet,7.67,7.67,7.75,7.67,7.5,7.75,tarrazu
83,Arabica,Guatemala,1500.0,Washed / Wet,7.75,7.75,7.5,7.75,7.83,7.58,antigua
83,Arabica,Taiwan,1200.0,Washed / Wet,7.75,7.67,7.5,7.75,7.75,7.67,台灣
83,Arabica,Brazil,1.0,Natural / Dry,7.25,7.58,7.42,8.0,7.75,7.83,south of minas
83,Arabica,Taiwan,525.0,Washed / Wet,7.67,7.75,7.67,7.75,7.42,7.75,"dongshan dist., tainan city 臺南市東山區"
83,Arabica,Ethiopia,1676.5,Natural / Dry,7.75,7.75,7.67,7.67,7.58,7.67,oromia
83,Arabica,Brazil,1200.0,Semi-washed / Semi-pulped,7.67,7.67,7.58,7.5,7.83,8.17,south of minas
83,Arabica,Costa Rica,1300.0,Washed / Wet,7.83,7.42,7.5,7.83,7.75,7.83,central valley
83,Arabica,Guatemala,1219.2,Washed / Wet,7.58,7.83,7.33,8.0,7.58,7.75,oriente
83,Arabica,Brazil,1260.0,Natural / Dry,7.92,7.5,7.33,7.67,8.17,7.5,south of minas
83,Arabica,Ecuador,800.0,Natural / Dry,7.5,7.67,7.58,7.75,7.83,7.83,"province of manabi, ecuador"
83,Arabica,Colombia,1750.0,Washed / Wet,7.67,7.58,7.58,7.83,7.58,7.67,huila
83,Arabica,Guatemala,1310.64,Washed / Wet,7.5,7.83,7.5,7.83,7.83,7.67,oriente
83,Arabica,Mexico,1218.0,Natural / Dry,7.67,8.0,7.67,7.42,7.67,7.5,petatlan
83,Arabica,Mexico,1300.0,Natural / Dry,7.67,7.58,7.5,7.75,7.75,7.75,"la concordia, chiapas"
83,Arabica,Brazil,1250.0,Semi-washed / Semi-pulped,7.83,7.83,7.58,7.67,7.5,7.58,carmo de minas
83,Arabica,Thailand,1499.9208,Washed / Wet,7.75,7.75,7.58,8.0,7.67,7.58,"doi chaang village, chiang rai, thialand"
83,Arabica,Ethiopia,1310.64,Washed / Wet,7.58,7.83,7.58,8.0,7.83,7.5,sidamo
83,Arabica,Kenya,1800.0,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.75,nyeri
83,Arabica,Brazil,890.0,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,south of minas
83,Arabica,Colombia,442.0,Washed / Wet,7.83,7.83,7.58,7.58,7.58,7.58,huila
83,Arabica,Taiwan,750.0,Natural / Dry,7.67,7.67,7.58,7.58,7.67,7.83,"台南市東山區 (dongshan dist., tainan city)"
83,Arabica,Colombia,1310.64,Washed / Wet,7.92,7.75,7.5,7.67,7.75,7.5,huila
83,Arabica,China,1650.0,Washed / Wet,7.83,7.75,7.67,7.5,7.58,7.67,yunnan
83,Arabica,Colombia,442.0,Natural / Dry,7.75,7.67,7.5,7.67,7.58,7.83,huila
83,Arabica,Uganda,1400.0,Natural / Dry,8.0,7.92,7.58,7.75,7.33,7.5,west nile
83,Arabica,United States (Puerto Rico),853.44,Washed / Wet,7.83,7.83,7.83,7.67,8.0,8.17,yauco region
83,Arabica,Colombia,1775.0,Washed / Wet,7.67,7.67,7.67,7.92,7.5,7.67,huila
83,Arabica,Colombia,1550.0,Washed / Wet,7.67,7.42,7.42,7.42,8.0,8.33,huila
83,Arabica,Colombia,1750.0,Washed / Wet,7.58,7.67,7.75,7.67,7.67,7.67,huila
83,Arabica,Colombia,1750.0,Washed / Wet,7.75,7.67,7.75,7.58,7.42,8.0,huila
83,Arabica,United States (Hawaii),1310.64,Natural / Dry,7.25,7.42,7.67,7.58,7.83,8.25,kona
83,Arabica,Mexico,700.0,Natural / Dry,7.83,7.58,7.58,7.5,7.75,7.67,"huazalingo, hidalgo"
83,Arabica,Guatemala,1300.0,Washed / Wet,7.67,7.58,7.58,7.67,7.75,7.75,quetzaltenango
83,Arabica,Colombia,1600.0,Washed / Wet,7.83,7.83,7.58,7.33,7.42,7.67,cauca
83,Arabica,Colombia,1600.0,Washed / Wet,7.75,7.67,7.25,7.25,7.58,8.5,cundinamarca
83,Arabica,United States (Hawaii),1310.64,Washed / Wet,7.83,7.67,7.75,7.67,7.58,7.5,kona
83,Arabica,Brazil,890.0,Natural / Dry,7.67,7.83,7.5,7.67,7.67,7.5,south of minas
83,Arabica,Kenya,1700.0,Washed / Wet,8.08,7.67,7.67,7.58,7.25,7.67,meru county
83,Arabica,Honduras,1400.0,Washed / Wet,7.5,7.5,7.67,7.67,8.0,8.0,comayagua
83,Arabica,Nicaragua,1250.0,Washed / Wet,7.67,7.75,7.67,7.67,7.83,7.58,jinotega
83,Arabica,Brazil,934.0,Natural / Dry,7.58,7.75,7.58,7.75,7.58,7.58,south of minas
83,Arabica,Taiwan,1200.0,Natural / Dry,7.5,7.67,7.33,7.92,7.83,7.67,"leye, alishan township, chiayi county"
83,Arabica,Costa Rica,1350.0,Washed / Wet,7.33,7.67,7.67,7.5,7.67,7.5,west valley
83,Arabica,Thailand,800.0,Washed / Wet,7.5,7.75,7.58,7.83,7.67,7.58,thailand
83,Arabica,Colombia,1625.0,Washed / Wet,7.5,7.75,7.5,7.75,7.67,7.67,huila
83,Arabica,Guatemala,1356.6648,Washed / Wet,8.0,7.5,7.33,8.0,8.0,8.0,huehuetenango
83,Arabica,Colombia,1750.0,Washed / Wet,7.83,7.75,7.67,7.58,7.58,7.67,huila supremo
83,Arabica,Colombia,1900.0,Washed / Wet,7.67,7.67,7.67,7.67,7.33,7.75,huila
83,Arabica,Guatemala,1310.64,Washed / Wet,7.67,7.67,7.42,7.67,8.0,7.75,oriente
83,Arabica,Guatemala,1310.64,Washed / Wet,7.83,7.67,7.33,7.67,7.67,7.83,oriente
83,Arabica,Colombia,1750.0,Washed / Wet,7.75,7.75,7.58,7.83,7.17,7.75,huila
83,Arabica,Guatemala,1450.0,Natural / Dry,8.17,8.17,7.83,7.67,8.08,7.75,oriente
83,Arabica,Guatemala,1310.64,Washed / Wet,7.67,8.17,7.5,7.42,7.58,7.83,oriente
83,Arabica,Mexico,1100.0,Washed / Wet,7.67,7.5,7.5,7.33,7.83,8.25,xicotepec de juarez
83,Arabica,Indonesia,1400.0,Washed / Wet,8.17,7.67,7.58,7.58,7.42,7.67,east java
83,Arabica,Guatemala,1524.0,Washed / Wet,7.67,7.5,7.33,8.0,7.67,7.67,"sacatepequez, guatemala"
83,Arabica,Brazil,890.0,Natural / Dry,7.58,7.67,7.58,7.58,7.67,7.58,south of minas
83,Arabica,Guatemala,1128.3696,Washed / Wet,7.75,7.75,7.5,7.83,7.58,7.58,huehuetenango
83,Arabica,Colombia,1310.64,Washed / Wet,7.75,7.75,7.58,7.58,7.67,7.58,huila
83,Arabica,China,1100.0,Washed / Wet,7.67,7.58,7.58,7.58,7.67,7.75,yunnan
83,Arabica,Colombia,1775.0,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.58,huila
83,Arabica,Mexico,1200.0,Washed / Wet,7.75,7.75,7.58,7.58,7.5,7.67,"chiapas, jaltenango"
83,Arabica,Ethiopia,1850.0,Washed / Wet,7.75,7.67,7.58,7.67,7.5,7.67,yirgacheffe
83,Arabica,Uganda,1800.0,Washed / Wet,7.67,7.67,7.42,7.75,7.75,7.67,eastern
83,Arabica,Colombia,1600.0,Natural / Dry,7.67,7.58,7.67,7.67,7.67,7.67,cundinamarca
83,Arabica,Colombia,1550.0,Washed / Wet,7.67,7.58,7.67,7.58,7.67,7.75,santander
83,Arabica,Colombia,1550.0,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.83,santander
83,Arabica,Taiwan,1000.0,Other,7.75,7.75,7.75,7.75,7.5,7.58,taichung xinshe 台中市新社區
83,Arabica,Colombia,1775.0,Washed / Wet,7.67,7.67,7.58,7.67,7.75,7.58,huila
83,Arabica,Mexico,1000.0,Washed / Wet,7.83,7.67,7.58,7.58,7.67,7.58,xalapa
83,Arabica,Colombia,2136.0,Natural / Dry,7.67,7.58,7.58,7.58,7.67,7.75,cundinamarca
83,Arabica,Brazil,1100.0,Semi-washed / Semi-pulped,7.83,7.75,7.5,7.75,7.5,7.58,south of minas
83,Arabica,Colombia,1799.0,Washed / Wet,7.75,7.58,7.58,7.75,7.75,7.5,cundinamarca
83,Arabica,Costa Rica,1850.0,Washed / Wet,7.92,7.42,7.5,7.67,7.5,7.67,tarrazu
83,Arabica,Colombia,1000.0,Natural / Dry,7.75,7.58,7.58,7.5,7.75,7.75,pitalito
83,Arabica,Guatemala,1219.2,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.58,oriente
83,Arabica,Colombia,1775.0,Washed / Wet,7.58,7.58,7.58,7.58,7.75,7.67,huila
83,Arabica,"Tanzania, United Republic Of",1400.0,Washed / Wet,7.75,7.67,7.58,7.67,7.67,7.58,nkure- meru
83,Arabica,Indonesia,1500.0,Semi-washed / Semi-pulped,7.25,7.67,7.58,7.92,7.83,7.58,bener meriah
83,Arabica,Ethiopia,1600.0,Natural / Dry,7.67,7.75,7.5,7.58,7.75,7.67,oromia
83,Arabica,Colombia,1310.64,Washed / Wet,7.67,7.42,7.67,7.83,7.58,7.67,huila
83,Arabica,Colombia,1850.0,Washed / Wet,8.0,7.58,7.25,7.58,7.92,7.58,huila
83,Arabica,Guatemala,1400.0,Washed / Wet,7.58,7.75,7.5,7.83,7.42,7.67,atitlan
83,Arabica,Colombia,1650.0,Washed / Wet,7.75,7.58,7.33,7.5,7.83,7.83,cundinamarca
83,Arabica,Honduras,1350.0,Natural / Dry,7.67,7.5,7.67,7.5,7.67,7.67,comayagua
83,Arabica,Colombia,1750.0,Washed / Wet,7.58,7.75,7.42,7.67,7.75,7.67,huila
83,Arabica,Colombia,1750.0,Washed / Wet,7.58,7.67,7.58,7.75,7.58,7.75,huila
83,Arabica,Mexico,1170.0,Natural / Dry,7.83,7.58,7.25,7.5,7.5,7.42,xalapa
83,Arabica,Mexico,940.0,Semi-washed / Semi-pulped,7.67,7.75,7.67,7.75,7.58,7.5,chilón
83,Arabica,Mexico,1400.0,Washed / Wet,7.75,7.67,7.67,7.75,7.33,7.5,totutla
83,Arabica,Guatemala,1524.0,Washed / Wet,7.83,7.5,7.5,8.0,7.67,7.5,atitlan
83,Arabica,Colombia,1775.0,Washed / Wet,7.67,7.58,7.58,7.67,7.67,7.67,huila
83,Arabica,Guatemala,1402.08,Washed / Wet,7.5,7.5,7.75,7.5,8.0,7.67,oriente
83,Arabica,Indonesia,1600.0,Washed / Wet,7.83,7.58,7.58,7.58,7.75,7.58,bondowoso
83,Arabica,Colombia,439.0,Washed / Wet,7.5,7.58,7.58,7.5,7.75,7.83,huila
83,Arabica,Guatemala,1700.0,Washed / Wet,7.67,7.75,7.5,7.58,7.58,7.67,san marcos
83,Arabica,Colombia,442.0,Washed / Wet,7.67,7.67,7.5,7.67,7.67,7.58,huila
83,Arabica,Costa Rica,1850.0,Washed / Wet,7.58,7.5,7.42,7.92,7.5,7.67,tarrazu
83,Arabica,Uganda,1800.0,Washed / Wet,7.58,7.75,7.33,7.75,7.67,7.58,eastern
83,Arabica,Thailand,1200.0,Washed / Wet,7.5,7.58,7.75,7.5,7.75,7.67,thailand
83,Arabica,El Salvador,1330.0,Washed / Wet,7.58,7.5,7.75,7.58,7.75,7.67,apaneca
83,Arabica,Colombia,442.0,Natural / Dry,7.58,7.67,7.58,7.67,7.58,7.67,huila
83,Arabica,Brazil,1310.64,Semi-washed / Semi-pulped,7.33,7.83,7.75,7.5,7.42,7.83,vale da grama
83,Arabica,"Tanzania, United Republic Of",1600.0,Washed / Wet,7.75,7.67,7.58,7.67,7.58,7.58,karatu northern
83,Arabica,Colombia,1813.0,Washed / Wet,7.58,7.58,7.25,7.75,7.75,8.58,huila
83,Arabica,Guatemala,1219.2,Natural / Dry,7.75,7.83,7.33,7.83,7.5,7.67,oriente
83,Arabica,Guatemala,1500.0,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.5,antigua
83,Arabica,Guatemala,1310.64,Washed / Wet,7.67,7.5,7.75,7.42,7.75,7.75,oriente
83,Arabica,United States (Hawaii),1310.64,Natural / Dry,7.42,7.75,7.67,7.58,7.67,7.67,kona
83,Arabica,Colombia,1450.0,Washed / Wet,7.5,7.75,7.58,7.5,7.67,7.75,cundinamarca
83,Arabica,Colombia,1310.64,Washed / Wet,7.58,7.58,7.58,7.67,7.75,7.67,huila
83,Arabica,United States (Hawaii),1310.64,Washed / Wet,7.5,7.92,7.42,7.67,7.83,7.58,kona
83,Arabica,Mexico,1050.0,Washed / Wet,7.25,7.88,7.38,7.63,7.5,8.75,nayarit
83,Arabica,Colombia,1650.0,Washed / Wet,7.75,7.5,7.75,7.58,7.58,7.58,huila
83,Arabica,Colombia,1310.64,Washed / Wet,7.67,7.58,7.58,7.42,7.67,7.75,guayata
83,Arabica,Colombia,1310.64,Washed / Wet,7.83,7.58,7.58,7.58,7.5,7.58,huila
83,Arabica,Brazil,1227.0,Semi-washed / Semi-pulped,7.5,7.83,7.33,7.58,7.58,7.92,south of minas
83,Arabica,Mexico,1200.0,Washed / Wet,7.75,7.75,7.5,7.67,7.5,7.58,chiapas
83,Arabica,Colombia,1650.0,Washed / Wet,7.67,7.75,7.42,7.83,7.83,7.42,santander
83,Arabica,"Tanzania, United Republic Of",1700.0,Semi-washed / Semi-pulped,7.75,7.58,7.67,7.58,7.58,7.58,arusha
83,Arabica,Mexico,1100.0,Washed / Wet,7.67,7.67,7.58,7.67,7.5,7.58,veracruz
83,Arabica,Costa Rica,1300.0,Washed / Wet,7.67,7.67,7.42,7.67,7.67,7.67,san ramon
83,Arabica,United States (Hawaii),1310.64,Natural / Dry,7.83,7.58,7.83,7.67,7.92,8.0,kona
83,Arabica,Costa Rica,1200.0,Washed / Wet,7.5,7.67,7.67,7.5,7.83,7.17,central valley
83,Arabica,Haiti,1280.16,Washed / Wet,7.58,7.5,7.67,7.5,7.83,7.42,"thiotte, haiti"
83,Arabica,Colombia,1000.0,Natural / Dry,7.67,7.67,7.5,7.67,7.92,7.42,pitalito
83,Arabica,Guatemala,1310.64,Washed / Wet,7.83,7.67,7.17,7.67,7.67,7.67,oriente
83,Arabica,United States (Hawaii),1310.64,Natural / Dry,7.92,7.5,7.58,7.83,7.67,7.67,kona
83,Arabica,Burundi,1880.0,Washed / Wet,7.75,7.67,7.33,7.5,7.5,7.75,kayanza
83,Arabica,Colombia,1750.0,Washed / Wet,7.5,7.67,7.67,7.58,7.67,7.58,huila
83,Arabica,United States (Hawaii),1310.64,Washed / Wet,8.08,7.83,7.83,7.75,7.67,7.58,kona
83,Arabica,Mexico,1600.0,Washed / Wet,7.67,7.83,7.42,7.83,7.33,7.5,sierra madre occidental
83,Arabica,Costa Rica,1900.0,Pulped natural / honey,7.5,7.5,7.83,7.5,7.67,7.67,tarrazu
83,Arabica,Costa Rica,1310.64,Washed / Wet,7.83,7.5,7.42,7.67,7.5,7.67,tarrazu
83,Arabica,Guatemala,2100.0,Washed / Wet,7.5,7.58,7.42,7.83,7.67,7.58,nuevo oriente
83,Arabica,Uganda,1310.64,Washed / Wet,7.5,7.67,7.67,7.42,7.67,7.67,"sipi, mt elgon"
83,Arabica,Brazil,1310.64,Washed / Wet,7.58,7.67,7.42,7.5,7.67,7.42,campos altos - cerrado
83,Arabica,Colombia,442.0,Natural / Dry,7.58,7.67,7.67,7.17,7.75,7.83,huila
83,Arabica,Mexico,1261.0,Natural / Dry,7.83,7.75,7.5,7.58,7.58,7.58,cuarenteño
83,Arabica,Taiwan,1000.0,Washed / Wet,7.67,7.5,7.5,7.5,7.67,7.83,natou county
83,Arabica,Taiwan,800.0,Washed / Wet,7.92,7.83,7.75,7.58,7.5,7.33,南投國姓
83,Arabica,Colombia,1483.0,Natural / Dry,7.58,7.58,7.5,7.58,7.58,7.75,eje cafetero
83,Arabica,Guatemala,1500.0,Washed / Wet,7.5,7.67,7.58,7.67,7.67,7.5,antigua
83,Arabica,Colombia,1750.0,Washed / Wet,7.83,7.5,7.67,7.33,7.67,7.67,huila
83,Arabica,Mexico,1300.0,Washed / Wet,7.58,7.75,7.5,7.5,7.58,7.58,chiapas
83,Arabica,United States (Hawaii),1310.64,Natural / Dry,7.58,7.75,7.83,8.0,8.08,7.67,kona
83,Arabica,Mexico,1310.64,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.58,veracruz
83,Arabica,Mexico,1000.0,Washed / Wet,7.75,7.75,7.42,7.92,7.33,7.5,fortín de las flores
83,Arabica,Guatemala,1310.64,Washed / Wet,7.83,7.58,7.08,7.83,7.42,8.08,oriente
83,Arabica,Brazil,1200.0,Semi-washed / Semi-pulped,7.75,7.67,7.5,7.58,7.58,7.58,grama valley
83,Arabica,Colombia,175.0,Washed / Wet,7.67,7.58,7.58,7.42,7.83,7.58,huila
83,Arabica,Colombia,1775.0,Washed / Wet,7.67,7.67,7.5,7.5,7.58,7.67,la plata
83,Arabica,Colombia,1700.0,Washed / Wet,7.92,7.75,7.25,7.42,7.83,7.58,huila
83,Arabica,Colombia,1880.0,Washed / Wet,8.0,7.67,7.67,7.25,7.67,7.5,cauca
83,Arabica,Colombia,1800.0,Washed / Wet,7.92,7.75,7.5,7.42,7.42,7.67,cundinamarca
83,Arabica,Brazil,890.0,Natural / Dry,7.67,7.42,7.5,7.58,7.67,7.58,south of minas
83,Arabica,Guatemala,1901.0,Washed / Wet,7.58,7.58,7.33,7.67,7.75,7.58,oriente
83,Arabica,"Tanzania, United Republic Of",168.0,Washed / Wet,7.67,7.58,7.42,7.67,7.67,7.58,moshi
83,Arabica,Vietnam,1550.0,Natural / Dry,7.58,7.42,7.08,7.33,7.58,8.58,dala
83,Arabica,Guatemala,1500.0,Washed / Wet,7.67,7.75,7.42,7.75,7.58,7.5,antigua
83,Arabica,Honduras,1450.0,Washed / Wet,7.67,7.67,7.5,7.67,7.5,7.67,marcala
83,Arabica,China,1200.0,Washed / Wet,7.5,7.67,7.33,7.67,7.67,7.67,yunnan
83,Arabica,China,1600.0,Washed / Wet,7.67,7.67,7.5,7.67,7.42,7.58,dehong prefecture
83,Arabica,El Salvador,1350.0,Washed / Wet,7.5,7.5,7.33,7.67,8.0,7.67,apaneca
83,Arabica,Guatemala,1500.0,Washed / Wet,7.5,7.75,7.5,7.83,7.58,7.5,antigua
83,Arabica,Guatemala,1650.0,Washed / Wet,7.92,7.67,7.42,7.75,7.5,7.5,oriente
83,Arabica,Kenya,250.5,Washed / Wet,7.83,7.75,7.67,7.75,7.83,8.5,kenya
83,Arabica,Thailand,800.0,Washed / Wet,7.67,7.58,7.58,7.75,7.42,7.67,thailand
83,Arabica,"Tanzania, United Republic Of",1653.0,Washed / Wet,7.58,7.67,7.67,7.58,7.42,7.58,mbinga
83,Arabica,Colombia,1775.0,Washed / Wet,7.58,7.5,7.5,7.67,7.5,7.67,huila
83,Arabica,Uganda,1800.0,Washed / Wet,8.0,7.67,7.5,7.42,7.33,7.58,eastern
83,Arabica,Honduras,1450.0,Natural / Dry,7.5,7.5,7.5,7.67,7.67,7.67,san marcos
83,Arabica,Honduras,1350.0,Natural / Dry,7.67,7.67,7.5,7.67,7.5,7.67,comayagua
83,Arabica,Guatemala,1524.0,Washed / Wet,7.33,7.83,7.17,8.17,7.33,7.67,san marcos
83,Arabica,United States (Hawaii),1310.64,Natural / Dry,7.5,7.5,7.58,7.42,7.92,7.67,kona
83,Arabica,"Tanzania, United Republic Of",1800.0,Washed / Wet,7.58,7.5,7.58,7.75,7.58,7.58,kilimanjaro
83,Arabica,Guatemala,1310.64,Washed / Wet,7.67,7.83,7.33,7.67,7.5,7.67,oriente
83,Arabica,Mexico,1500.0,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.42,chiapas
83,Arabica,Mexico,532.0,Washed / Wet,7.75,7.67,7.58,7.5,7.42,7.58,"tlanchinol, hidalgo"
83,Arabica,Mexico,1089.0,Washed / Wet,7.58,7.75,7.42,7.67,7.5,7.58,san bartolo tutotepec
83,Arabica,Colombia,1775.0,Washed / Wet,7.67,7.5,7.5,7.5,7.58,8.17,huila
83,Arabica,Mexico,700.0,Washed / Wet,7.75,7.5,7.42,7.75,7.58,7.58,san isidro
83,Arabica,Colombia,1750.0,Washed / Wet,7.58,7.67,7.5,7.58,7.67,7.67,huila
83,Arabica,Mexico,1380.0,Washed / Wet,7.5,7.75,7.58,7.58,7.67,7.5,la concordia
83,Arabica,Brazil,1000.0,Natural / Dry,7.75,7.67,7.58,7.5,7.58,7.58,south of minas
83,Arabica,Brazil,950.0,Natural / Dry,7.92,7.58,7.5,7.58,7.42,7.5,mogiana
83,Arabica,Guatemala,1402.08,Washed / Wet,7.75,7.5,7.67,7.5,7.92,8.0,oriente
83,Arabica,Brazil,1000.0,Semi-washed / Semi-pulped,7.75,7.5,7.58,7.5,7.75,7.5,south of minas
83,Arabica,Brazil,900.0,Washed / Wet,7.58,7.75,7.67,7.5,7.67,7.58,south of minas
83,Arabica,El Salvador,1200.0,Washed / Wet,7.42,7.83,8.17,8.08,7.17,7.58,santa ana
83,Arabica,Ethiopia,1850.0,Washed / Wet,7.75,8.0,7.67,8.08,7.83,7.92,limu
83,Arabica,Colombia,1799.0,Washed / Wet,7.58,7.67,7.33,7.67,7.75,7.58,cundinamarca
83,Arabica,Colombia,1310.64,Washed / Wet,7.75,7.5,7.5,7.42,8.0,7.75,huila
83,Arabica,Brazil,905.0,Pulped natural / honey,7.58,7.58,7.58,7.5,7.67,7.58,south of minas
83,Arabica,Brazil,1.0,Natural / Dry,7.33,7.67,7.67,7.33,7.75,7.42,south of minas
83,Arabica,Taiwan,750.0,Natural / Dry,7.83,7.92,7.5,7.83,7.67,7.25,"dongshan dist., tainan city 臺南市東山區"
83,Arabica,Brazil,1310.64,Natural / Dry,7.42,7.67,7.58,7.5,7.75,7.67,chapadão de ferro (cerrado mineiro)
83,Arabica,Brazil,1200.0,Washed / Wet,7.58,7.83,7.67,7.42,7.42,7.5,south of minas
83,Arabica,Costa Rica,1300.0,Washed / Wet,7.83,7.33,7.5,7.67,7.58,7.67,central valley
83,Arabica,United States (Hawaii),1310.64,Natural / Dry,7.33,7.75,7.58,7.33,7.83,7.67,kona
83,Arabica,Taiwan,1300.0,Other,7.75,7.75,7.5,7.5,7.5,7.5,chiayi alishan 嘉義縣阿里山鄉
83,Arabica,United States (Hawaii),1310.64,Natural / Dry,7.83,7.83,7.33,7.17,7.75,7.67,kona
83,Arabica,Mexico,1400.0,Washed / Wet,7.75,7.67,7.42,7.75,7.5,7.5,santa catarina juquila
83,Arabica,United States (Hawaii),1310.64,Natural / Dry,7.67,7.58,7.5,7.67,7.92,8.0,kona
83,Arabica,United States (Hawaii),1310.64,Washed / Wet,7.33,7.58,7.58,7.92,7.67,7.58,kona
83,Arabica,Colombia,1775.0,Washed / Wet,7.33,7.33,7.33,7.58,7.25,8.08,huila
83,Arabica,Colombia,1880.0,Washed / Wet,7.83,7.75,7.33,7.25,7.42,7.92,cauca
83,Arabica,Indonesia,1350.0,Washed / Wet,7.67,7.58,7.5,7.58,7.67,7.58,dolok sanggul
83,Arabica,Brazil,890.0,Natural / Dry,7.58,7.5,7.5,7.75,7.67,7.5,south of minas
83,Arabica,Brazil,894.0,Natural / Dry,7.5,7.58,7.58,7.67,7.58,7.5,south of minas
83,Arabica,Brazil,872.0,Natural / Dry,7.5,7.67,7.58,7.67,7.58,7.42,south of minas
83,Arabica,Uganda,1473.0,Washed / Wet,7.67,7.58,7.42,7.42,7.83,7.5,"kasese, mt. rwenzori"
83,Arabica,Uganda,1645.0,Natural / Dry,7.67,7.67,7.5,7.58,7.42,7.5,"kasese, mt. rwenzori"
83,Arabica,Colombia,442.0,Washed / Wet,7.67,7.67,7.33,7.67,7.5,7.58,huila
83,Arabica,Vietnam,1550.0,Other,7.75,7.67,7.58,7.58,7.42,7.67,vietnam cau dat
83,Arabica,Guatemala,1550.0,Washed / Wet,7.67,7.75,7.33,7.92,7.42,7.5,nuevo oriente
83,Arabica,Guatemala,1371.6,Washed / Wet,7.75,7.67,7.33,7.75,7.5,7.42,"el tumbador, san marcos"
83,Arabica,Guatemala,1500.0,Washed / Wet,7.83,7.67,7.25,7.67,7.75,7.5,antigua
83,Arabica,Brazil,1000.0,Natural / Dry,7.67,7.67,7.67,7.5,7.42,7.5,high mogiana
83,Arabica,Taiwan,1200.0,Washed / Wet,7.92,7.92,7.83,7.58,7.33,7.25,嘉義阿里山
83,Arabica,Uganda,1800.0,Washed / Wet,7.83,7.58,7.5,7.5,7.58,7.5,kapchorwa
83,Arabica,United States (Puerto Rico),853.44,Washed / Wet,7.67,7.5,7.67,7.83,7.75,7.83,yauco region
83,Arabica,Guatemala,1500.0,Washed / Wet,7.67,7.67,7.42,7.83,7.5,7.5,antigua
83,Arabica,Costa Rica,1200.0,Washed / Wet,7.67,7.58,7.5,7.58,7.5,7.5,central valley
83,Arabica,Brazil,1250.0,Semi-washed / Semi-pulped,7.75,7.58,7.42,7.67,7.42,7.67,sul de minas
83,Arabica,Colombia,1775.0,Washed / Wet,7.75,7.42,7.33,7.5,7.58,7.17,huila
83,Arabica,Colombia,1750.0,Washed / Wet,7.83,7.5,7.58,7.33,7.5,7.67,huila
83,Arabica,Colombia,1000.0,Natural / Dry,7.33,7.67,7.75,7.42,7.75,7.58,pitalito
83,Arabica,Colombia,1000.0,Natural / Dry,7.58,7.75,7.42,7.67,7.58,7.42,pitalito
83,Arabica,Colombia,1775.0,Washed / Wet,7.5,7.5,7.42,7.58,7.75,7.58,huila
