total_cup_points,species,country_of_origin,altitude_mean_meters,processing_method,aroma,flavor,aftertaste,acidity,body,balance,region
85,Arabica,Peru,1310.64,Washed / Wet,8.0,8.0,8.0,8.08,7.92,7.75,cajamarca
85,Arabica,Papua New Guinea,1700.0,Washed / Wet,8.33,8.42,7.83,8.33,8.0,8.25,eastern highlands province
85,Arabica,El Salvador,1500.0,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,apaneca
85,Arabica,El Salvador,1350.0,Semi-washed / Semi-pulped,7.83,8.0,8.0,7.75,7.92,8.17,"ataco, apaneca - ilamatepec mountain range"
85,Arabica,United States (Hawaii),1310.64,Natural / Dry,7.83,8.0,7.92,7.75,8.08,8.0,kona
85,Arabica,Panama,1680.0,Natural / Dry,8.0,7.75,7.83,7.83,7.67,8.58,boquete
85,Arabica,Kenya,1900.0,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,kirinyaga
85,Arabica,Ethiopia,1900.0,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,oromia
85,Arabica,Uganda,1600.0,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,bulambuli eastern region
85,Arabica,Guatemala,1731.264,Washed / Wet,8.0,7.83,7.67,8.33,7.83,8.0,huehuetenango
85,Arabica,Ethiopia,1900.0,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,oromia
85,Arabica,Uganda,1950.0,Washed / Wet,8.08,8.0,7.83,7.67,8.0,7.83,kapchorwa
85,Arabica,United States (Hawaii),1310.64,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,kona
85,Arabica,Brazil,1250.0,Semi-washed / Semi-pulped,8.0,8.0,8.0,7.67,7.75,8.0,south of minas
85,Arabica,El Salvador,1400.0,Washed / Wet,8.08,7.83,7.83,8.08,7.83,7.83,apaneca
85,Arabica,China,1700.0,Natural / Dry,8.0,8.0,8.0,7.83,7.83,7.75,yunnan
85,Arabica,Guatemala,1770.0,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,huehuetenango
85,Arabica,Costa Rica,1300.0,Washed / Wet,7.92,8.08,8.0,7.92,8.0,8.08,west valley
85,Arabica,Costa Rica,1300.0,Washed / Wet,8.0,7.58,7.58,7.67,8.08,8.5,san ramon
85,Arabica,Kenya,1600.0,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,central kenya
85,Arabica,Kenya,1200.0,Washed / Wet,8.0,7.92,7.92,8.08,7.83,7.75,central kenya
85,Arabica,Ethiopia,1310.64,Washed / Wet,7.83,7.83,7.92,8.08,7.75,7.83,yirgacheffe
85,Arabica,Ethiopia,1310.64,Washed / Wet,7.92,7.83,7.75,8.33,7.75,7.75,yirgacheffe
85,Arabica,Guatemala,1310.64,Washed / Wet,8.0,7.92,7.75,8.0,7.92,7.83,oriente
85,Arabica,Colombia,1550.0,Washed / Wet,8.17,7.92,7.83,8.0,7.58,7.83,santander
85,Arabica,Colombia,1550.0,Natural / Dry,7.58,8.08,7.92,7.83,8.0,7.92,santander
85,Arabica,Indonesia,1325.0,Semi-washed / Semi-pulped,7.75,7.83,7.67,8.0,8.08,7.83,lintong
85,Arabica,Guatemala,1400.0,Washed / Wet,8.25,8.0,7.67,7.92,7.75,7.67,huehuetenango
